case_id,solver_family,solver_version,simulation_dimensionality,forcing_period_s,forcing_amplitude_deg,simulated_cycles,end_time_s,initial_fill_fraction,liquid_density_kg_m3,liquid_kinematic_viscosity_m2_s,gas_density_kg_m3,gas_kinematic_viscosity_m2_s,surface_tension_N_m,gravity_m_s2,mesh_cells,time_integration,configured_max_courant,configured_max_interface_courant,maximum_timestep_s,pressure_probe_count,pressure_and_load_output_interval_s,qa_output_interval_s,geometry_disclosure,sectional_load_extraction
anchor-t10-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,10,5,9.998,99.98,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
anchor-t13-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,13,5,9.998,129.974,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
anchor-t40-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,40,5,10,400,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
anchor-t60-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,60,5,10,600,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
baseline-static-t24,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,24,0,1.99916666666667,47.98,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
conduit-a13p5-t10p64-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,10.64,5,10,106.4,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
conduit-a13p5-t13-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,13,5,10,130,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
conduit-a13p5-t9-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,9,5,10,90,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
conduit-a3p4-t17-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,17,5,10,170,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
conduit-a3p4-t19p73-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,19.73,5,10,197.3,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
conduit-a3p4-t23-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,23,5,10,230,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
fill-f25-t12-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,12,5,10,120,0.25,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
fill-f25-t13p95-a10,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,13.95,10,10,139.5,0.25,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
fill-f25-t13p95-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,13.95,5,10,139.5,0.25,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
fill-f25-t16-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,16,5,10,160,0.25,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
fill-f70-t13-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,13,5,10,130,0.7,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
fill-f70-t14p59-a10,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,14.59,10,10,145.9,0.7,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
fill-f70-t14p59-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,14.59,5,10,145.9,0.7,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
fill-f70-t17-a5,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,17,5,10,170,0.7,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
forced-fine-co025-pressure-t24,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,24,5,10,240,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,69120,adaptive_first_order_euler,0.25,0.25,0.02,20,0.05,0.1,normalized_coordinates_only,aggregate_wall_patch
forced-fine-co035-pressure-t24,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,24,5,10,240,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,69120,adaptive_first_order_euler,0.35,0.35,0.02,20,0.05,0.1,normalized_coordinates_only,not_available_single_aggregate_wall_patch
forced-medium-sectional-t24,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,24,5,9.99916666666667,239.98,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,left_right_boundary_patches
forced-medium-t21,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,21,5,9.99904761904762,209.98,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
forced-medium-t22,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,22,5,9.99909090909091,219.98,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
forced-medium-t23,incompressible_two_phase_vof,OpenFOAM_2312_patch_260127,three_dimensional,23,5,9.99913043478261,229.98,0.5,1025,0.000001,1.225,0.0000148,0.07,9.81,20480,adaptive_first_order_euler,0.5,0.5,0.02,0,0.1,0.1,normalized_coordinates_only,aggregate_wall_patch
