case_id,quantity,value,unit,window,statistic,qa_status
anchor-t10-a5,added_roll_damping_B44,39967501.9438208,N.m.s/rad,final_three_cycles,derived,pass
anchor-t10-a5,amplification_vs_quasi_static,0.565541954354932,dimensionless,final_three_cycles,derived,pass
anchor-t10-a5,conduit_area,6.8,m2,final_three_cycles,input,pass
anchor-t10-a5,equivalent_damping_ratio,0.445772043071481,dimensionless,final_three_cycles,derived,pass
anchor-t10-a5,exchange_phase_lag,129.407056445555,deg,final_three_cycles,phase,pass
anchor-t10-a5,initial_fill_fraction,0.5,dimensionless,final_three_cycles,input,pass
anchor-t10-a5,level_difference_amplitude,0.492902290867663,m,final_three_cycles,harmonic_amplitude,pass
anchor-t10-a5,moment_quadrature_fraction,0.556166142696221,dimensionless,final_three_cycles,derived,pass
anchor-t10-a5,roll_moment_amplitude,3940303.7130533,N.m,final_three_cycles,harmonic_amplitude,pass
anchor-t10-a5,roll_moment_in_phase_with_angle,3274672.656029,N.m,final_three_cycles,component,pass
anchor-t10-a5,roll_moment_in_quadrature,-2191463.51714045,N.m,final_three_cycles,component,pass
anchor-t13-a5,added_roll_damping_B44,98971070.3007364,N.m.s/rad,final_three_cycles,derived,pass
anchor-t13-a5,amplification_vs_quasi_static,0.854734128936895,dimensionless,final_three_cycles,derived,pass
anchor-t13-a5,conduit_area,6.8,m2,final_three_cycles,input,pass
anchor-t13-a5,equivalent_damping_ratio,0.587478091320316,dimensionless,final_three_cycles,derived,pass
anchor-t13-a5,exchange_phase_lag,99.3098590355621,deg,final_three_cycles,phase,pass
anchor-t13-a5,initial_fill_fraction,0.5,dimensionless,final_three_cycles,input,pass
anchor-t13-a5,level_difference_amplitude,0.744949878592677,m,final_three_cycles,harmonic_amplitude,pass
anchor-t13-a5,moment_quadrature_fraction,0.747293943298297,dimensionless,final_three_cycles,derived,pass
anchor-t13-a5,roll_moment_amplitude,5585996.92726564,N.m,final_three_cycles,harmonic_amplitude,pass
anchor-t13-a5,roll_moment_in_phase_with_angle,3711859.28289347,N.m,final_three_cycles,component,pass
anchor-t13-a5,roll_moment_in_quadrature,-4174381.67102851,N.m,final_three_cycles,component,pass
anchor-t40-a5,added_roll_damping_B44,66105821.3241198,N.m.s/rad,final_three_cycles,derived,pass
anchor-t40-a5,amplification_vs_quasi_static,1.1285175681885,dimensionless,final_three_cycles,derived,pass
anchor-t40-a5,conduit_area,6.8,m2,final_three_cycles,input,pass
anchor-t40-a5,equivalent_damping_ratio,0.187641298944579,dimensionless,final_three_cycles,derived,pass
anchor-t40-a5,exchange_phase_lag,8.754325123012,deg,final_three_cycles,phase,pass
anchor-t40-a5,initial_fill_fraction,0.5,dimensionless,final_three_cycles,input,pass
anchor-t40-a5,level_difference_amplitude,0.9835678685925,m,final_three_cycles,harmonic_amplitude,pass
anchor-t40-a5,moment_quadrature_fraction,0.0984332718230741,dimensionless,final_three_cycles,derived,pass
anchor-t40-a5,roll_moment_amplitude,9205874.15033112,N.m,final_three_cycles,harmonic_amplitude,pass
anchor-t40-a5,roll_moment_in_phase_with_angle,9161167.23514473,N.m,final_three_cycles,component,pass
anchor-t40-a5,roll_moment_in_quadrature,-906164.312608554,N.m,final_three_cycles,component,pass
anchor-t60-a5,added_roll_damping_B44,38727645.1494386,N.m.s/rad,final_three_cycles,derived,pass
anchor-t60-a5,amplification_vs_quasi_static,1.05482758140554,dimensionless,final_three_cycles,derived,pass
anchor-t60-a5,conduit_area,6.8,m2,final_three_cycles,input,pass
anchor-t60-a5,equivalent_damping_ratio,0.115842385163365,dimensionless,final_three_cycles,derived,pass
anchor-t60-a5,exchange_phase_lag,3.35365971623029,deg,final_three_cycles,phase,pass
anchor-t60-a5,initial_fill_fraction,0.5,dimensionless,final_three_cycles,input,pass
anchor-t60-a5,level_difference_amplitude,0.919342813281155,m,final_three_cycles,harmonic_amplitude,pass
anchor-t60-a5,moment_quadrature_fraction,0.0401834083377034,dimensionless,final_three_cycles,derived,pass
anchor-t60-a5,roll_moment_amplitude,8807452.49932035,N.m,final_three_cycles,harmonic_amplitude,pass
anchor-t60-a5,roll_moment_in_phase_with_angle,8800338.902024,N.m,final_three_cycles,component,pass
anchor-t60-a5,roll_moment_in_quadrature,-353913.460195116,N.m,final_three_cycles,component,pass
baseline-static-t24,level_amplitude_per_roll_degree,0,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
baseline-static-t24,observed_max_courant,0.0041304469,dimensionless,full_run,qa_metric,cycle_converged
baseline-static-t24,retained_field_window,24,s,full_run,qa_metric,cycle_converged
baseline-static-t24,roll_moment_amplitude_per_roll_degree,0,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
baseline-static-t24,volume_drift,0,percent,full_run,qa_metric,cycle_converged
conduit-a13p5-t10p64-a5,added_roll_damping_B44,134371065.669981,N.m.s/rad,final_three_cycles,derived,pass
conduit-a13p5-t10p64-a5,amplification_vs_quasi_static,1.43084460708353,dimensionless,final_three_cycles,derived,pass
conduit-a13p5-t10p64-a5,conduit_area,13.5,m2,final_three_cycles,input,pass
conduit-a13p5-t10p64-a5,equivalent_damping_ratio,0.337741611899095,dimensionless,final_three_cycles,derived,pass
conduit-a13p5-t10p64-a5,exchange_phase_lag,95.0195092096877,deg,final_three_cycles,phase,pass
conduit-a13p5-t10p64-a5,initial_fill_fraction,0.5,dimensionless,final_three_cycles,input,pass
conduit-a13p5-t10p64-a5,level_difference_amplitude,1.24706324486846,m,final_three_cycles,harmonic_amplitude,pass
conduit-a13p5-t10p64-a5,moment_quadrature_fraction,0.835769763959399,dimensionless,final_three_cycles,derived,pass
conduit-a13p5-t10p64-a5,roll_moment_amplitude,8285232.84921066,N.m,final_three_cycles,harmonic_amplitude,pass
conduit-a13p5-t10p64-a5,roll_moment_in_phase_with_angle,4549256.06969592,N.m,final_three_cycles,component,pass
conduit-a13p5-t10p64-a5,roll_moment_in_quadrature,-6924547.10273345,N.m,final_three_cycles,component,pass
conduit-a13p5-t13-a5,added_roll_damping_B44,158332467.512131,N.m.s/rad,final_three_cycles,derived,pass
conduit-a13p5-t13-a5,amplification_vs_quasi_static,1.63053811349528,dimensionless,final_three_cycles,derived,pass
conduit-a13p5-t13-a5,conduit_area,13.5,m2,final_three_cycles,input,pass
conduit-a13p5-t13-a5,equivalent_damping_ratio,0.280113069267487,dimensionless,final_three_cycles,derived,pass
conduit-a13p5-t13-a5,exchange_phase_lag,58.5901284062515,deg,final_three_cycles,phase,pass
conduit-a13p5-t13-a5,initial_fill_fraction,0.5,dimensionless,final_three_cycles,input,pass
conduit-a13p5-t13-a5,level_difference_amplitude,1.42110760360046,m,final_three_cycles,harmonic_amplitude,pass
conduit-a13p5-t13-a5,moment_quadrature_fraction,0.605421094825034,dimensionless,final_three_cycles,derived,pass
conduit-a13p5-t13-a5,roll_moment_amplitude,11030528.4449869,N.m,final_three_cycles,harmonic_amplitude,pass
conduit-a13p5-t13-a5,roll_moment_in_phase_with_angle,8779256.40715592,N.m,final_three_cycles,component,pass
conduit-a13p5-t13-a5,roll_moment_in_quadrature,-6678114.60766266,N.m,final_three_cycles,component,pass
conduit-a13p5-t9-a5,added_roll_damping_B44,71866951.8022558,N.m.s/rad,final_three_cycles,derived,pass
conduit-a13p5-t9-a5,amplification_vs_quasi_static,1.07450206456107,dimensionless,final_three_cycles,derived,pass
conduit-a13p5-t9-a5,conduit_area,13.5,m2,final_three_cycles,input,pass
