case_id,title,summary,study_family,evidence_depth,media_truth,representative_case_id,has_case_image,has_case_video,qa_summary,analysis_path,validation_fixture_path
anchor-t10-a5,"Forced-roll anchor, 10 s",Anchors the response curve outside the reviewed 16-26 s window so the natural period and the damping can be separated.,resonance_anchor,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=anchor-t10-a5,/reports/sloshing/damping-and-sizing.html
anchor-t13-a5,"Forced-roll anchor, 13 s",Anchors the response curve outside the reviewed 16-26 s window so the natural period and the damping can be separated.,resonance_anchor,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=anchor-t13-a5,/reports/sloshing/damping-and-sizing.html
anchor-t40-a5,"Forced-roll anchor, 40 s",Anchors the response curve outside the reviewed 16-26 s window so the natural period and the damping can be separated.,resonance_anchor,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=anchor-t40-a5,/reports/sloshing/damping-and-sizing.html
anchor-t60-a5,"Forced-roll anchor, 60 s",Anchors the response curve outside the reviewed 16-26 s window so the natural period and the damping can be separated.,resonance_anchor,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=anchor-t60-a5,/reports/sloshing/damping-and-sizing.html
baseline-static-t24,Stationary tank baseline - 24 s observation,No-roll CFD baseline confirming static liquid level and numerical load stability.,stationary_baseline,detailed,case_specific,,true,true,accepted_static_baseline,/reports/sloshing/analysis.html?case=baseline-static-t24,/reports/sloshing/validation.html
conduit-a13p5-t10p64-a5,"Conduit-area check, A_c 13.5 m2 at 10.64 s","Point check placed at the analytically predicted resonance for this conduit area, testing a prediction the model was not fitted to.",conduit_area_check,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=conduit-a13p5-t10p64-a5,/reports/sloshing/damping-and-sizing.html
conduit-a13p5-t13-a5,"Conduit-area check, A_c 13.5 m2 at 13 s","Point check placed at the analytically predicted resonance for this conduit area, testing a prediction the model was not fitted to.",conduit_area_check,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=conduit-a13p5-t13-a5,/reports/sloshing/damping-and-sizing.html
conduit-a13p5-t9-a5,"Conduit-area check, A_c 13.5 m2 at 9 s","Point check placed at the analytically predicted resonance for this conduit area, testing a prediction the model was not fitted to.",conduit_area_check,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=conduit-a13p5-t9-a5,/reports/sloshing/damping-and-sizing.html
conduit-a3p4-t17-a5,"Conduit-area check, A_c 3.4 m2 at 17 s","Point check placed at the analytically predicted resonance for this conduit area, testing a prediction the model was not fitted to.",conduit_area_check,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=conduit-a3p4-t17-a5,/reports/sloshing/damping-and-sizing.html
conduit-a3p4-t19p73-a5,"Conduit-area check, A_c 3.4 m2 at 19.73 s","Point check placed at the analytically predicted resonance for this conduit area, testing a prediction the model was not fitted to.",conduit_area_check,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=conduit-a3p4-t19p73-a5,/reports/sloshing/damping-and-sizing.html
conduit-a3p4-t23-a5,"Conduit-area check, A_c 3.4 m2 at 23 s","Point check placed at the analytically predicted resonance for this conduit area, testing a prediction the model was not fitted to.",conduit_area_check,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=conduit-a3p4-t23-a5,/reports/sloshing/damping-and-sizing.html
decay-dt-0p001,Free-decay timestep verification - 0.001 s,Accepted free-decay CFD verification case compared with the analytical frequency.,free_decay_validation,simple,none,,false,false,accepted_verification,/reports/sloshing/analysis.html?case=decay-dt-0p001,/reports/sloshing/validation.html
decay-dt-0p004,Free-decay timestep verification - 0.004 s,Accepted free-decay CFD verification case compared with the analytical frequency.,free_decay_validation,simple,none,,false,false,accepted_verification,/reports/sloshing/analysis.html?case=decay-dt-0p004,/reports/sloshing/validation.html
decay-mesh-cpb120,Free-decay mesh verification - 14400 cells,Accepted free-decay CFD verification case compared with the analytical frequency.,free_decay_validation,simple,none,,false,false,accepted_verification,/reports/sloshing/analysis.html?case=decay-mesh-cpb120,/reports/sloshing/validation.html
decay-mesh-cpb160,Free-decay mesh verification - 25600 cells,Accepted free-decay CFD verification case compared with the analytical frequency.,free_decay_validation,simple,none,,false,false,accepted_verification,/reports/sloshing/analysis.html?case=decay-mesh-cpb160,/reports/sloshing/validation.html
decay-mesh-cpb40,Free-decay mesh verification - 1600 cells,Accepted free-decay CFD verification case compared with the analytical frequency.,free_decay_validation,simple,none,,false,false,accepted_verification,/reports/sloshing/analysis.html?case=decay-mesh-cpb40,/reports/sloshing/validation.html
decay-mesh-cpb60,Free-decay mesh verification - 3600 cells,Accepted free-decay CFD verification case compared with the analytical frequency.,free_decay_validation,simple,none,,false,false,accepted_verification,/reports/sloshing/analysis.html?case=decay-mesh-cpb60,/reports/sloshing/validation.html
decay-mesh-cpb80,Free-decay mesh verification - 6400 cells,Accepted free-decay CFD verification case compared with the analytical frequency.,free_decay_validation,simple,none,,false,false,accepted_verification,/reports/sloshing/analysis.html?case=decay-mesh-cpb80,/reports/sloshing/validation.html
fill-f25-t12-a5,"Fill check, 25 % fill at 12 s","Point check placed at the analytically predicted resonance for this fill, testing a prediction the model was not fitted to.",fill_check,standard,none,,false,false,accepted_reduced,/reports/sloshing/analysis.html?case=fill-f25-t12-a5,/reports/sloshing/damping-and-sizing.html
fill-f25-t13p95-a10,"Fill check, 25 % fill at 13.95 s","Point check placed at the analytically predicted resonance for this fill, testing a prediction the model was not fitted to.",fill_check,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=fill-f25-t13p95-a10,/reports/sloshing/damping-and-sizing.html
fill-f25-t13p95-a5,"Fill check, 25 % fill at 13.95 s","Point check placed at the analytically predicted resonance for this fill, testing a prediction the model was not fitted to.",fill_check,standard,none,,false,false,accepted_reduced,/reports/sloshing/analysis.html?case=fill-f25-t13p95-a5,/reports/sloshing/damping-and-sizing.html
fill-f25-t16-a5,"Fill check, 25 % fill at 16 s","Point check placed at the analytically predicted resonance for this fill, testing a prediction the model was not fitted to.",fill_check,standard,none,,false,false,accepted_cycle_converged,/reports/sloshing/analysis.html?case=fill-f25-t16-a5,/reports/sloshing/damping-and-sizing.html
