SurfaceLongitude,SurfaceLatitude,BottomHoleLongitude,BottomHoleLatitude,Operator,CompletionDate,Reservoir,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM,CumOil12Month,rowID
-102.4150819,32.19665122,-102.4148857,32.19676612,OVV,9/30/2017,WOLFCAMP B,9925.0000,2061.0000,49.0000,275.0890,275.0890,9.2580,258.2630,6818.8630,439.8380,22821.2075,0.0560,4150.9728,0.4260,0.0110,3.1119,0.1690,0.2570,0.9430,5.5592,325341.6875,1
-102.3584814,32.13282179,-102.3583593,32.13290431,OVV,10/7/2017,SPRABERRY LOWER SHALE,9478.0000,2042.0000,48.0000,300.3460,300.3460,3.1200,231.5850,6149.5700,,30333.5230,0.0550,2927.7631,0.3190,0.0050,2.8506,0.2270,0.1440,0.9410,5.2283,211278.4063,2
-102.4029824,32.11935189,-102.4028244,32.1193791,OVV,10/7/2017,SPRABERRY LOWER SHALE,9295.0000,2145.0000,,299.1400,299.1400,228.4660,228.4660,5917.9840,,16238.1090,0.0470,2230.7591,0.4450,0.0060,1.9771,0.1730,0.1770,0.9440,5.2176,201117.6094,3
-102.373553,32.12589817,-102.373553,32.12589817,OVV,8/11/2017,WOLFCAMP A,9894.0000,1995.0000,,274.8860,274.8860,249.0050,249.0050,6560.6000,,24069.5400,0.0480,3267.3561,0.3110,0.0030,2.5054,0.1660,0.3380,0.9410,5.3567,297255.6250,4
-102.4379471,32.45165207,-102.4379471,32.45165207,OVV,8/16/2017,WOLFCAMP B,10403.0000,2007.0000,49.0000,291.2230,291.2230,219.8280,219.8280,6809.6050,442.1470,24158.2750,0.0570,4188.9816,0.3860,0.0090,3.0660,0.1620,0.2800,0.9410,5.6994,240883.1875,5
-102.4387922,32.45168585,-102.4379471,32.45165207,OVV,8/1/2017,SPRABERRY LOWER SHALE,10404.0000,2013.0000,48.0000,302.3870,302.3870,221.2860,221.2860,6146.4500,,29350.5660,0.0520,3002.7919,0.3000,0.0050,2.8085,0.2250,0.1480,0.9410,5.6067,151234.7656,6
-102.4574006,32.41704673,-102.4574006,32.41704673,OVV,10/9/2017,SPRABERRY LOWER SHALE,10424.0000,2068.0000,48.0000,302.5340,302.5340,221.2860,221.2860,5925.1640,,17631.4250,0.0490,2220.2810,0.5570,0.0050,1.9898,0.2330,0.1170,0.9410,5.6465,155705.3281,7
-102.4581933,32.41760451,-102.4574006,32.41704673,OVV,8/5/2017,WOLFCAMP A,10421.0000,2099.0000,51.0000,261.1640,261.1640,219.8280,219.8280,6589.7780,,22530.2110,0.0440,3498.5851,0.2910,0.0040,2.2353,0.1430,0.4070,0.9410,5.8219,244439.7188,8
-102.302192,32.40413009,-102.3019567,32.40446004,OVV,7/20/2017,WOLFCAMP B,10405.0000,2075.0000,50.0000,261.7330,261.7330,225.4360,225.4360,6815.2140,446.4230,24021.1120,0.0570,4173.1616,0.3980,0.0090,3.1458,0.1640,0.2680,0.9410,5.8028,397864.9688,9
-102.4307893,32.42664549,-102.430045,32.42670428,OVV,2/8/2017,WOLFCAMP A,7616.0000,2026.0000,51.0000,16.3060,16.3060,5.3790,255.3940,6512.1920,,15224.4850,0.0340,3250.0829,0.4810,0.0190,2.2445,0.1710,0.3210,0.9710,4.4826,109156.7109,10
-102.4398845,32.16718961,-102.4393113,32.16742892,OVV,2/8/2017,WOLFCAMP B,7664.0000,1962.0000,51.0000,454.4210,454.4210,12.2940,12.2940,6925.2040,239.3910,8271.2950,0.0370,4098.5711,0.5070,0.0220,2.1691,0.1330,0.3710,0.9710,4.5032,110990.3828,11
-102.3586871,32.18868191,-102.3586883,32.18890381,OVV,2/8/2017,WOLFCAMP A,7732.0000,1970.0000,50.0000,,,,,6460.0137,,12304.3800,0.0470,3466.3091,0.5930,0.0190,2.2607,0.2000,0.2090,0.9710,4.4975,477447.5938,12
-102.3047934,32.42607664,-102.3048595,32.42652494,OVV,2/16/2017,SPRABERRY LOWER SHALE,7703.0000,,,13.7510,13.7510,269.1080,269.1080,6222.6660,,28108.3950,0.0550,2927.3818,0.4080,0.0220,2.6771,0.2310,0.1550,0.9720,4.5631,116930.8984,13
-102.4552939,32.49513263,-102.4546927,32.49559188,OVV,2/16/2017,WOLFCAMP B,7425.0000,1618.0000,52.0000,223.9020,223.9020,184.0760,184.0760,6914.4740,244.9400,8319.7010,0.0400,4064.3748,0.5190,0.0220,2.1888,0.1360,0.3630,0.9720,4.1134,76212.5469,14
-102.4974908,32.49865384,-102.4966679,32.49890782,OVV,2/16/2017,WOLFCAMP C,7607.0000,1532.0000,52.0000,224.8720,224.8720,184.0760,184.0760,7098.5510,,5592.5340,0.0550,4511.2833,0.7120,,2.1080,0.2240,0.1970,0.9710,4.0765,29439.9160,15
-102.4536917,32.50209463,-102.4527387,32.50216485,OVV,2/10/2017,SPRABERRY LOWER SHALE,7126.0000,1593.0000,52.0000,217.2060,217.2060,149.8200,149.8200,6072.8460,,26598.3540,0.0540,2875.9179,0.4170,0.0220,2.4900,0.2420,0.1310,0.9710,3.8516,271021.7813,16
-102.3805431,32.16625458,-102.3805431,32.16625458,OVV,2/10/2017,SPRABERRY LOWER SHALE,7519.0000,1517.0000,48.0000,12.5740,12.5740,63.5190,213.3390,6286.1850,,18391.4350,0.0550,3241.8699,0.5890,0.0220,2.3287,0.2360,0.1330,0.9710,3.9323,136142.8906,17
-102.3801862,32.16618992,-102.3805431,32.16625458,OVV,2/10/2017,WOLFCAMP A,7657.0000,1494.0000,48.0000,12.7070,12.7070,5.3790,5.3790,6506.8130,,15587.2840,0.0340,3200.6922,0.4640,0.0190,2.2595,0.1730,0.3160,0.9710,3.9980,61698.3828,18
-102.3805431,32.16625458,-102.3805431,32.16625458,OVV,2/10/2017,WOLFCAMP B,7645.0000,1508.0000,49.0000,226.7520,226.7520,1.5640,12.2940,6912.9100,244.9400,8507.9690,0.0400,4075.7471,0.5090,0.0220,2.2179,0.1350,0.3630,0.9710,4.0657,75152.4063,19
-102.3665828,32.28296851,-102.3664176,32.28263264,COP,12/19/2015,WOLFCAMP B,5051.0000,1475.0000,48.0000,829.7110,10.7540,385.8120,33.2650,6942.9870,243.2900,7828.7940,0.0310,3760.1642,0.5340,0.0160,2.2081,0.1380,0.3660,0.9670,3.3347,86163.4453,20
-102.3829926,32.4043669,-102.3833719,32.40412822,COP,12/19/2015,WOLFCAMP A,4796.0000,1544.0000,51.0000,841.0730,412.2680,293.3500,352.5480,6557.1740,,14639.9090,0.0300,3329.5085,0.3940,0.0130,1.9440,0.1430,0.4160,0.9670,3.2400,70092.7734,21
-102.3968791,32.12833954,-102.3964256,32.12804311,COP,12/18/2015,DEAN,4998.0000,1487.0000,48.0000,9.7750,9.7750,262.8480,262.8480,6294.3260,,14962.5770,0.0570,3284.2381,0.6620,,2.2875,0.2360,0.1240,0.9670,3.2310,92708.4141,22
-102.4324844,32.14285116,-102.4318056,32.14276043,OXY,8/6/2015,WOLFCAMP A,7578.0000,,,,,,,5384.3390,,10693.6060,0.0560,2979.3055,0.6520,0.0230,2.4147,0.2180,0.1120,0.7600,4.6568,89813.7578,23
-102.4352842,32.15384924,-102.4354871,32.15359423,FANG,7/12/2007,SPRABERRY LOWER,1961.0000,215.0000,,2000.0000,2000.0000,500.0000,500.0000,4998.7720,,8210.5410,0.0720,2373.9962,0.7990,,2.4971,0.1950,0.0990,0.7940,1.2697,14081.1104,24
