series_id,case_id,quantity,unit,x_quantity,x_unit,sample_count,public_location,z_over_height,label,line_dash,qa_status,source_class,source_sha256
aggregate-force-x,forced-fine-co035-pressure-t24,aggregate_force_x,N,time,s,301,aggregate_wall,,Aggregate force X,solid,configured_limit_exceeded,reviewed_time_history,ae337c378561c9c334d1b59adce7cf3772640699e75ddce1e36a6e3a692edd3a
aggregate-force-y,forced-fine-co035-pressure-t24,aggregate_force_y,N,time,s,301,aggregate_wall,,Aggregate force Y,solid,configured_limit_exceeded,reviewed_time_history,ae337c378561c9c334d1b59adce7cf3772640699e75ddce1e36a6e3a692edd3a
aggregate-force-z,forced-fine-co035-pressure-t24,aggregate_force_z,N,time,s,301,aggregate_wall,,Aggregate force Z,solid,configured_limit_exceeded,reviewed_time_history,ae337c378561c9c334d1b59adce7cf3772640699e75ddce1e36a6e3a692edd3a
aggregate-moment-x,forced-fine-co035-pressure-t24,aggregate_moment_x,N_m,time,s,301,aggregate_wall,,Aggregate moment X,solid,configured_limit_exceeded,reviewed_time_history,ae337c378561c9c334d1b59adce7cf3772640699e75ddce1e36a6e3a692edd3a
aggregate-moment-y,forced-fine-co035-pressure-t24,aggregate_moment_y,N_m,time,s,301,aggregate_wall,,Aggregate moment Y,solid,configured_limit_exceeded,reviewed_time_history,ae337c378561c9c334d1b59adce7cf3772640699e75ddce1e36a6e3a692edd3a
aggregate-moment-z,forced-fine-co035-pressure-t24,aggregate_moment_z,N_m,time,s,301,aggregate_wall,,Aggregate moment Z,solid,configured_limit_exceeded,reviewed_time_history,ae337c378561c9c334d1b59adce7cf3772640699e75ddce1e36a6e3a692edd3a
baseline-static-t24-level,baseline-static-t24,liquid_level_difference,m,time,s,24,normalized_source_neutral_history,,Liquid level difference,solid,pass,reviewed_evidence_extension,release_digest_covered
baseline-static-t24-moment,baseline-static-t24,roll_moment,N_m,time,s,24,normalized_source_neutral_history,,Aggregate roll moment,solid,pass,reviewed_evidence_extension,release_digest_covered
forced-fine-co025-pressure-t24-level,forced-fine-co025-pressure-t24,liquid_level_difference,m,time,s,120,normalized_source_neutral_history,,Liquid level difference,solid,pass,reviewed_evidence_extension,release_digest_covered
forced-fine-co025-pressure-t24-moment,forced-fine-co025-pressure-t24,roll_moment,N_m,time,s,120,normalized_source_neutral_history,,Aggregate roll moment,solid,pass,reviewed_evidence_extension,release_digest_covered
forced-medium-sectional-t24-left-moment,forced-medium-sectional-t24,section_roll_moment,N_m,time,s,120,normalized_source_neutral_history,,Left section roll moment,solid,pass,reviewed_evidence_extension,release_digest_covered
forced-medium-sectional-t24-level,forced-medium-sectional-t24,liquid_level_difference,m,time,s,120,normalized_source_neutral_history,,Liquid level difference,solid,pass,reviewed_evidence_extension,release_digest_covered
forced-medium-sectional-t24-moment,forced-medium-sectional-t24,roll_moment,N_m,time,s,120,normalized_source_neutral_history,,Aggregate roll moment,solid,pass,reviewed_evidence_extension,release_digest_covered
forced-medium-sectional-t24-right-moment,forced-medium-sectional-t24,section_roll_moment,N_m,time,s,120,normalized_source_neutral_history,,Right section roll moment,solid,pass,reviewed_evidence_extension,release_digest_covered
forced-medium-t21-level,forced-medium-t21,liquid_level_difference,m,time,s,105,normalized_source_neutral_history,,Liquid level difference,solid,pass,reviewed_evidence_extension,release_digest_covered
forced-medium-t21-moment,forced-medium-t21,roll_moment,N_m,time,s,105,normalized_source_neutral_history,,Aggregate roll moment,solid,pass,reviewed_evidence_extension,release_digest_covered
forced-medium-t22-level,forced-medium-t22,liquid_level_difference,m,time,s,110,normalized_source_neutral_history,,Liquid level difference,solid,pass,reviewed_evidence_extension,release_digest_covered
forced-medium-t22-moment,forced-medium-t22,roll_moment,N_m,time,s,110,normalized_source_neutral_history,,Aggregate roll moment,solid,pass,reviewed_evidence_extension,release_digest_covered
forced-medium-t23-level,forced-medium-t23,liquid_level_difference,m,time,s,115,normalized_source_neutral_history,,Liquid level difference,solid,pass,reviewed_evidence_extension,release_digest_covered
forced-medium-t23-moment,forced-medium-t23,roll_moment,N_m,time,s,115,normalized_source_neutral_history,,Aggregate roll moment,solid,pass,reviewed_evidence_extension,release_digest_covered
forced-medium-t24-level,forced-medium-t24,liquid_level_difference,m,time,s,120,normalized_source_neutral_history,,Liquid level difference,solid,pass,reviewed_evidence_extension,release_digest_covered
forced-medium-t24-moment,forced-medium-t24,roll_moment,N_m,time,s,120,normalized_source_neutral_history,,Aggregate roll moment,solid,pass,reviewed_evidence_extension,release_digest_covered
forced-medium-t25-level,forced-medium-t25,liquid_level_difference,m,time,s,125,normalized_source_neutral_history,,Liquid level difference,solid,pass,reviewed_evidence_extension,release_digest_covered
forced-medium-t25-moment,forced-medium-t25,roll_moment,N_m,time,s,125,normalized_source_neutral_history,,Aggregate roll moment,solid,pass,reviewed_evidence_extension,release_digest_covered
pressure-left-inner-h10,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,left-inner,0.1,Pressure: left inner at 10% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-left-inner-h30,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,left-inner,0.3,Pressure: left inner at 30% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
pressure-left-inner-h50,forced-fine-co035-pressure-t24,wall_pressure,Pa,time,s,301,left-inner,0.5,Pressure: left inner at 50% height,solid,configured_limit_exceeded,reviewed_time_history,f58256876d30ed00d0618b7bf3472fc8f160a5d5ab7fce865c0d018329b828d4
