case_id,quantity,value,unit,window,statistic,qa_status
forced-medium-t16,level_amplitude_per_roll_degree,0.19032124795567584,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t16,exchange_amplitude_per_roll_degree,22.838549754681104,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t16,roll_moment_amplitude_per_roll_degree,1494722.9225757902,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t18,level_amplitude_per_roll_degree,0.20548810589769295,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t18,exchange_amplitude_per_roll_degree,24.658572707723152,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t18,roll_moment_amplitude_per_roll_degree,1686625.0887207459,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t20,level_amplitude_per_roll_degree,0.21600153887411966,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t20,exchange_amplitude_per_roll_degree,25.92018466489436,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t20,roll_moment_amplitude_per_roll_degree,1820605.0163104627,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t22,level_amplitude_per_roll_degree,0.2207085663801469,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t22,exchange_amplitude_per_roll_degree,26.485027965617626,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t22,roll_moment_amplitude_per_roll_degree,1899570.4974983397,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t24,level_amplitude_per_roll_degree,0.2207434097392535,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t24,exchange_amplitude_per_roll_degree,26.48920916871042,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t24,roll_moment_amplitude_per_roll_degree,1934695.9264718618,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t26,level_amplitude_per_roll_degree,0.21703089523789662,m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t26,exchange_amplitude_per_roll_degree,26.043707428547595,m3_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-medium-t26,roll_moment_amplitude_per_roll_degree,1936639.2559606377,N_m_per_deg,final_three_cycles,harmonic_normalized_by_roll_amplitude,cycle_converged
forced-fine-co035-pressure-t24,force_x_N_minimum,-4587.37169,N,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_x_N_maximum,4858.84416,N,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_x_N_peak_to_peak,9446.21585,N,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_x_N_harmonic_amplitude,179.3079018501565,N,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_y_N_minimum,-80982.6343,N,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_y_N_maximum,81203.4078,N,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_y_N_peak_to_peak,162186.04210000002,N,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_y_N_harmonic_amplitude,69910.73998533697,N,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_z_N_minimum,-12419360.6,N,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_z_N_maximum,-12401978.8,N,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_z_N_peak_to_peak,17381.799999998882,N,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,force_z_N_harmonic_amplitude,28.215113957765723,N,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_x_Nm_minimum,-9731433.6,N_m,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_x_Nm_maximum,9731526.92,N_m,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_x_Nm_peak_to_peak,19462960.52,N_m,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_x_Nm_harmonic_amplitude,9791356.160723904,N_m,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_y_Nm_minimum,124004900.0,N_m,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_y_Nm_maximum,124222233.0,N_m,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_y_Nm_peak_to_peak,217333.0,N_m,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_y_Nm_harmonic_amplitude,4106.139491938857,N_m,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_z_Nm_minimum,-805657.198,N_m,last_cycle,minimum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_z_Nm_maximum,803858.164,N_m,last_cycle,maximum_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_z_Nm_peak_to_peak,1609515.362,N_m,last_cycle,peak_to_peak_last_cycle,configured_limit_exceeded
forced-fine-co035-pressure-t24,moment_z_Nm_harmonic_amplitude,701111.4520025817,N_m,final_three_cycles,harmonic_final_three_cycles,configured_limit_exceeded
decay-dt-0p001,cell_size,0.0125,m,full_run,verification_metadata,verification_only
decay-dt-0p001,runtime,349.3,s,full_run,verification_metadata,verification_only
decay-dt-0p001,timesteps,12000,count,full_run,verification_metadata,verification_only
decay-dt-0p001,measured_period,1.3232466650875923,s,full_run,verification_metadata,verification_only
